Amp                      Mask
1.236990022078534395e+02 0.000000000000000000e+00
1.462972966663820102e+02 0.000000000000000000e+00
1.448984933660698573e+02 0.000000000000000000e+00
1.399020622850845541e+02 0.000000000000000000e+00
1.345075236643019707e+02 0.000000000000000000e+00
1.351144460221001680e+02 0.000000000000000000e+00
1.429224441691516461e+02 0.000000000000000000e+00
1.445311772232173553e+02 0.000000000000000000e+00
1.493403466239381601e+02 0.000000000000000000e+00
1.473496941476299185e+02 0.000000000000000000e+00
1.517589999220742527e+02 0.000000000000000000e+00
1.487680804413132307e+02 0.000000000000000000e+00
1.451767865804416431e+02 0.000000000000000000e+00
1.469850016104000190e+02 0.000000000000000000e+00
1.417926392127673978e+02 0.000000000000000000e+00
1.499996414945552772e+02 0.000000000000000000e+00
1.534059770029994638e+02 0.000000000000000000e+00
1.474116387403537942e+02 0.000000000000000000e+00
1.422166421786826902e+02 0.000000000000000000e+00
1.428210232746543795e+02 0.000000000000000000e+00
1.454248364843340937e+02 0.000000000000000000e+00
1.448281527779767828e+02 0.000000000000000000e+00
1.290310576548201027e+02 0.000000000000000000e+00
1.492336491578774655e+02 0.000000000000000000e+00
1.558360358887309474e+02 0.000000000000000000e+00
1.550383350223245600e+02 0.000000000000000000e+00
1.540406703217574034e+02 0.000000000000000000e+00
1.514431701530755277e+02 0.000000000000000000e+00
1.474459655000662792e+02 0.000000000000000000e+00
1.444491879790508051e+02 0.000000000000000000e+00
1.644529678536767392e+02 0.000000000000000000e+00
1.448574320497116048e+02 0.000000000000000000e+00
1.560627022804032151e+02 0.000000000000000000e+00
1.588531805595495996e+02 0.000000000000000000e+00
1.600502695157773871e+02 0.000000000000000000e+00
1.566654605707540213e+02 0.000000000000000000e+00
1.610622339275024899e+02 0.000000000000000000e+00
1.580610519979049116e+02 0.000000000000000000e+00
1.730717542844865022e+02 0.000000000000000000e+00
1.716204646500721651e+02 0.000000000000000000e+00
1.840312749551441982e+02 0.000000000000000000e+00
1.764697199907767526e+02 0.000000000000000000e+00
1.839015922649091408e+02 0.000000000000000000e+00
1.844800930391801330e+02 0.000000000000000000e+00
1.792292828868657182e+02 0.000000000000000000e+00
1.958300597471231868e+02 0.000000000000000000e+00
1.934692677315405263e+02 0.000000000000000000e+00
2.026538786426638694e+02 0.000000000000000000e+00
2.176760663498842518e+02 0.000000000000000000e+00
3.666766738175086289e+02 0.000000000000000000e+00
5.999356887379656200e+02 0.000000000000000000e+00
5.917605861817709183e+02 0.000000000000000000e+00
4.540335556728127813e+02 0.000000000000000000e+00
2.806409077495358133e+02 0.000000000000000000e+00
2.328646944577492945e+02 0.000000000000000000e+00
2.476478452098293701e+02 0.000000000000000000e+00
2.744257063291485679e+02 0.000000000000000000e+00
2.971388949231688343e+02 0.000000000000000000e+00
3.083595038146708589e+02 0.000000000000000000e+00
3.393143698158289112e+02 0.000000000000000000e+00
3.760618054541346282e+02 0.000000000000000000e+00
4.714368526372143720e+02 0.000000000000000000e+00
6.098177478213646054e+02 0.000000000000000000e+00
8.053828330264085480e+02 0.000000000000000000e+00
1.148013890251928387e+03 0.000000000000000000e+00
1.710173794933797581e+03 0.000000000000000000e+00
3.978578254242604089e+03 0.000000000000000000e+00
1.311117915630611242e+04 0.000000000000000000e+00
3.161758910955538158e+04 0.000000000000000000e+00
4.002656007331218279e+04 0.000000000000000000e+00
3.031609001513768453e+04 0.000000000000000000e+00
1.362016399962065771e+04 0.000000000000000000e+00
3.778775792730330068e+03 0.000000000000000000e+00
1.379752474375016845e+03 0.000000000000000000e+00
7.506332334722241058e+02 0.000000000000000000e+00
5.039976345601602929e+02 0.000000000000000000e+00
3.915597009757141791e+02 0.000000000000000000e+00
3.259744708676869323e+02 0.000000000000000000e+00
2.932064874392473826e+02 0.000000000000000000e+00
2.623990630774231931e+02 0.000000000000000000e+00
2.288004544974276087e+02 0.000000000000000000e+00
2.226232995899075036e+02 0.000000000000000000e+00
2.014554710970813858e+02 0.000000000000000000e+00
1.919081639353130413e+02 0.000000000000000000e+00
1.812891944153510906e+02 0.000000000000000000e+00
1.753270156169218410e+02 0.000000000000000000e+00
1.837417085866352977e+02 0.000000000000000000e+00
1.881798513887124216e+02 0.000000000000000000e+00
1.733024956922867261e+02 0.000000000000000000e+00
1.678926294579134719e+02 0.000000000000000000e+00
1.592999880812120921e+02 0.000000000000000000e+00
1.704655888290520807e+02 0.000000000000000000e+00
1.566585951773209331e+02 0.000000000000000000e+00
1.420788426433170741e+02 0.000000000000000000e+00
1.547515090824827553e+02 0.000000000000000000e+00
1.461059080946092479e+02 0.000000000000000000e+00
1.436575553629600677e+02 0.000000000000000000e+00
1.565808237733695591e+02 0.000000000000000000e+00
1.459890910067510674e+02 0.000000000000000000e+00
1.503663307469742847e+02 0.000000000000000000e+00
1.667837634584079751e+02 0.000000000000000000e+00
1.686309285322063829e+02 0.000000000000000000e+00
1.662530824154554523e+02 0.000000000000000000e+00
1.413238020668208321e+02 0.000000000000000000e+00
1.428456624180153085e+02 0.000000000000000000e+00
1.488356603422059834e+02 0.000000000000000000e+00
1.390007600042697220e+02 0.000000000000000000e+00
1.613386932886743352e+02 0.000000000000000000e+00
1.442451080867809594e+02 0.000000000000000000e+00
1.374796873697583237e+02 0.000000000000000000e+00
1.533268074358516913e+02 0.000000000000000000e+00
1.903639417925747921e+02 0.000000000000000000e+00
4.733935353129892292e+02 0.000000000000000000e+00
8.410304915483125114e+02 0.000000000000000000e+00
8.372773020159535236e+02 0.000000000000000000e+00
5.197008394087612260e+02 0.000000000000000000e+00
2.313248383351200630e+02 0.000000000000000000e+00
1.619140482153215999e+02 0.000000000000000000e+00
1.552792267090623284e+02 0.000000000000000000e+00
1.494986825850065486e+02 0.000000000000000000e+00
1.493012837575523974e+02 0.000000000000000000e+00
1.468764441418284150e+02 0.000000000000000000e+00
1.387400599407806681e+02 0.000000000000000000e+00
1.432839530635821177e+02 0.000000000000000000e+00
1.451040196804383129e+02 0.000000000000000000e+00
1.336380162909561591e+02 0.000000000000000000e+00
1.316120812149811741e+02 0.000000000000000000e+00
1.360349325812628365e+02 0.000000000000000000e+00
1.452498091278554568e+02 0.000000000000000000e+00
1.435998808537750051e+02 0.000000000000000000e+00
1.296133651620421574e+02 0.000000000000000000e+00
1.377870356549121880e+02 0.000000000000000000e+00
1.513886913928898537e+02 0.000000000000000000e+00
1.611721986605447512e+02 0.000000000000000000e+00
1.643591147844609850e+02 0.000000000000000000e+00
1.500764474151162347e+02 0.000000000000000000e+00
1.357561854648331519e+02 0.000000000000000000e+00
1.335438451705825287e+02 0.000000000000000000e+00
1.361932535374820930e+02 0.000000000000000000e+00
1.487553600508103955e+02 0.000000000000000000e+00
1.493462744955289452e+02 0.000000000000000000e+00
1.403556513734066300e+02 0.000000000000000000e+00
